1	"2026-Jul-30"	105	"Today (2026-Jul-30) is Hekatombaiṓn 16, ἕκτῃ ἐπὶ δέκα Ἑκατομβαιῶνος, day 16 of 355 in the year 2026/2027."
2	"2026-Jul-30"	156	"🏺 This was the day of the Synoikia festival (Συνοικία) during which Theseus was celebrated as the founder of Athens.\n\nhttps://en.wikipedia.org/wiki/Synoikia"
3	"2026-Jul-31"	107	"Today (2026-Jul-31) is Hekatombaiṓn 17, ἑβδόμῃ ἐπὶ δέκα Ἑκατομβαιῶνος, day 17 of 355 in the year 2026/2027."
4	"2026-Aug-01"	106	"Today (2026-Aug-01) is Hekatombaiṓn 18, ὀγδόῃ ἐπὶ δέκα Ἑκατομβαιῶνος, day 18 of 355 in the year 2026/2027."
5	"2026-Aug-02"	106	"Today (2026-Aug-02) is Hekatombaiṓn 19, ἐνάτῃ ἐπὶ δέκα Ἑκατομβαιῶνος, day 19 of 355 in the year 2026/2027."
6	"2026-Aug-03"	106	"Today (2026-Aug-03) is Hekatombaiṓn 20, δεκάτῃ προτέρᾳ Ἑκατομβαιῶνος, day 20 of 355 in the year 2026/2027."
7	"2026-Aug-04"	105	"Today (2026-Aug-04) is Hekatombaiṓn 21, δεκάτῃ ὑστέρᾳ Ἑκατομβαιῶνος, day 21 of 355 in the year 2026/2027."
8	"2026-Aug-05"	107	"Today (2026-Aug-05) is Hekatombaiṓn 22, ἐνάτῃ φθίνοντος Ἑκατομβαιῶνος, day 22 of 355 in the year 2026/2027."
9	"2026-Aug-06"	107	"Today (2026-Aug-06) is Hekatombaiṓn 23, ὀγδόῃ φθίνοντος Ἑκατομβαιῶνος, day 23 of 355 in the year 2026/2027."
10	"2026-Aug-07"	108	"Today (2026-Aug-07) is Hekatombaiṓn 24, ἑβδόμῃ φθίνοντος Ἑκατομβαιῶνος, day 24 of 355 in the year 2026/2027."
11	"2026-Aug-08"	106	"Today (2026-Aug-08) is Hekatombaiṓn 25, ἕκτῃ φθίνοντος Ἑκατομβαιῶνος, day 25 of 355 in the year 2026/2027."
